                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  3.148,                 3.7058,                 4.1048,                0.00401,                 0.6148,                 0.0218,                0.00778,                 2.6094,                 3.7223,                 4.1363,             0.00054712,             0.00054712,             0.00054712
                      2,                 2.8908,                 3.2468,                 3.5351,                0.00502,                0.52252,                0.00511,                0.00122,                  2.963,                 4.1608,                 10.545,              0.0010919,              0.0010919,              0.0010919
                      3,                 2.5127,                 2.9451,                 3.0749,                0.09162,                0.22646,                  0.101,                0.03178,                 2.2619,                   3.19,                 3.1766,              0.0016256,              0.0016256,              0.0016256
                      4,                  2.273,                 2.6663,                  2.826,                0.08833,                0.19889,                0.05938,                0.01832,                  2.501,                 4.7985,                 3.2639,              0.0016175,              0.0016175,              0.0016175
                      5,                  2.133,                 2.4538,                 2.6309,                0.79682,                0.21632,                0.26907,                0.11982,                 2.0817,                 3.6581,                 2.7518,               0.001601,               0.001601,               0.001601
                      6,                 2.0249,                 2.3299,                 2.5061,                0.75357,                0.27468,                0.28724,                0.10649,                 2.0004,                 2.7167,                 2.6961,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.9441,                 2.2172,                 2.4002,                0.47924,                0.49853,                0.45397,                0.18604,                 1.7869,                 2.6948,                 2.4219,               0.001568,               0.001568,               0.001568
                      8,                 1.8922,                 2.1217,                 2.3514,                0.28862,                0.54242,                0.30133,                0.11305,                 1.8237,                 2.5134,                 2.4461,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.8292,                 2.0383,                 2.2835,                0.62309,                0.54205,                 0.5569,                0.25787,                 1.8015,                  2.051,                 2.4324,               0.001535,               0.001535,               0.001535
                     10,                 1.7741,                 1.9601,                 2.2244,                0.48153,                0.50645,                0.45511,                0.20446,                 1.8912,                  2.195,                 2.5373,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.7773,                 1.9782,                 2.2072,                0.66743,                0.52308,                0.60301,                0.28551,                 1.7209,                 1.9627,                 2.3001,               0.001502,               0.001502,               0.001502
                     12,                 1.7233,                 1.9596,                 2.1761,                0.72098,                0.67106,                0.70728,                0.35917,                 1.7121,                 1.6483,                  2.295,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.6754,                 1.8363,                 2.0958,                0.45576,                0.60205,                0.49364,                0.25401,                  1.787,                  1.869,                 2.3816,               0.001469,               0.001469,               0.001469
                     14,                 1.6978,                 1.8863,                 2.1222,                0.63006,                0.62166,                 0.6629,                0.33716,                 1.6155,                 1.6488,                  2.213,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.6796,                 1.8437,                 2.1154,                 0.6194,                0.62688,                0.64808,                 0.3406,                 1.6897,                   1.66,                 2.2699,               0.001436,               0.001436,               0.001436
                     16,                 1.6466,                 1.7991,                 2.0773,                0.68526,                0.60679,                0.69009,                0.36757,                 1.6188,                 1.5022,                 2.2069,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.5959,                 1.7406,                 2.0418,                  0.777,                0.51066,                 0.6533,                0.34469,                  1.719,                 1.5569,                 2.3015,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.6247,                 1.7764,                 2.0552,                0.61318,                 0.5337,                0.60075,                0.32134,                 1.6378,                 1.7095,                 2.2408,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.6354,                 1.7665,                 2.0765,                0.62869,                0.48589,                 0.5664,                0.29989,                 1.6755,                 1.9534,                 2.2686,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.5913,                  1.698,                 2.0277,                0.27214,                0.36777,                0.23643,                0.10324,                 2.1036,                 3.0352,                 2.7113,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.5732,                 1.6799,                 2.0032,                0.65164,                0.71092,                0.72085,                0.39666,                 1.5553,                 1.3971,                 2.1047,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.5687,                   1.63,                 1.9799,                0.70297,                0.65971,                0.71429,                0.39251,                 1.6385,                  1.472,                 2.2073,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.5616,                 1.6219,                 1.9742,                0.77183,                0.68542,                0.78436,                0.43135,                 1.5564,                 1.3652,                 2.0968,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.5673,                 1.5823,                 1.9544,                0.68146,                 0.5801,                0.64016,                 0.3403,                 1.7053,                 1.6106,                 2.2445,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.5114,                 1.5143,                 1.9166,                 0.5598,                0.60535,                0.62224,                0.33095,                 1.6934,                 1.6305,                 2.2092,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.4817,                 1.5017,                 1.9104,                0.79721,                0.67903,                0.78998,                0.43936,                 1.5402,                 1.2658,                 2.0875,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.4732,                 1.5151,                 1.9096,                0.78439,                0.60549,                0.73662,                0.42604,                 1.5536,                 1.3592,                  2.089,              0.0012379,              0.0012379,              0.0012379
